unique_id,ds,cutoff,y,Chronos,Moirai,TimesFM-2.5,TabPFN
hotel_126,2023-02-23,2023-02-10,0.9920318725099602,0.9208862,0.9021152,0.95375574,0.9284921884536744
hotel_126,2023-02-24,2023-02-10,0.9681274900398408,0.92279345,0.91285527,0.9844388,0.9658449292182922
hotel_126,2023-02-25,2023-02-10,0.9920318725099602,0.92146,0.9187459,0.9840598,0.9760501980781556
hotel_126,2023-02-26,2023-02-10,0.7848605577689243,0.9125758,0.860605,0.92697453,0.8435938358306885
hotel_126,2023-02-27,2023-02-10,0.701195219123506,0.9080764,0.90459836,0.91412747,0.8525246977806091
hotel_126,2023-02-28,2023-02-10,0.6533864541832669,0.9119375,0.89562386,0.9205086,0.8832796216011047
hotel_126,2023-03-01,2023-02-10,0.7171314741035857,0.91528034,0.9364436,0.9137535,0.8454604744911194
hotel_126,2023-03-02,2023-02-10,0.9760956175298804,0.92193246,0.93449664,0.92795265,0.8570257425308228
hotel_126,2023-03-03,2023-02-10,0.9840637450199204,0.92664206,0.8761039,0.96381235,0.9479752779006958
hotel_126,2023-03-04,2023-02-10,1.00398406374502,0.9279316,0.88959485,0.96904826,0.9657055139541626
hotel_126,2023-03-05,2023-02-10,0.9920318725099602,0.9235106,0.92669034,0.9183128,0.8049436807632446
hotel_126,2023-03-06,2023-02-10,0.9721115537848606,0.9174301,0.92857105,0.9132092,0.8264360427856445
hotel_126,2023-03-07,2023-02-10,0.99601593625498,0.91982317,0.93954104,0.932865,0.8832789659500122
hotel_126,2023-03-08,2023-02-10,0.9760956175298804,0.92553574,0.92877036,0.9426788,0.8972755074501038
hotel_126,2023-03-09,2023-02-10,1.0,0.9352546,0.8990592,0.964823,0.9081950783729552
hotel_126,2023-03-10,2023-02-10,0.9920318725099602,0.9368865,0.9220344,0.9928236,0.9511920809745787
hotel_133,2023-02-11,2023-02-10,0.7540983606557377,0.6606224,0.6429214,0.7338497,0.6643273830413818
hotel_133,2023-02-12,2023-02-10,0.5573770491803278,0.6540915,0.6695687,0.6074569,0.604507565498352
